Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
HECKTOR-2H-Hinton-S16;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S17;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S18;52.72727272727272;94.73684210526315;96.66666666666667;40.909090909090914;63.51351351351351;73.73205741626793;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S19;63.63636363636363;73.68421052631578;87.5;41.17647058823529;66.21621621621621;68.6602870813397;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S2;52.72727272727272;94.73684210526315;96.66666666666667;40.909090909090914;63.51351351351351;73.73205741626793;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S20;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S21;45.45454545454545;100;100;38.775510204081634;59.45945945945946;72.72727272727273;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S22;58.18181818181818;78.94736842105263;88.88888888888889;39.473684210526315;63.51351351351351;68.56459330143541;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S23;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S24;60;89.47368421052632;94.28571428571428;43.58974358974359;67.56756756756756;74.73684210526315;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S25;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S26;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S27;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S28;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S29;54.54545454545454;100;100;43.18181818181818;66.21621621621621;77.27272727272727;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S3;63.63636363636363;73.68421052631578;87.5;41.17647058823529;66.21621621621621;68.6602870813397;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S30;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S31;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S32;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S33;54.54545454545454;84.21052631578947;90.9090909090909;39.02439024390244;62.16216216216216;69.377990430622;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S34;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S35;63.63636363636363;73.68421052631578;87.5;41.17647058823529;66.21621621621621;68.6602870813397;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S36;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S37;45.45454545454545;100;100;38.775510204081634;59.45945945945946;72.72727272727273;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S38;60;89.47368421052632;94.28571428571428;43.58974358974359;67.56756756756756;74.73684210526315;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S39;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S4;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S40;60;89.47368421052632;94.28571428571428;43.58974358974359;67.56756756756756;74.73684210526315;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S41;43.63636363636363;94.73684210526315;96;36.734693877551024;56.75675675675676;69.1866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S42;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S43;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
