Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
DLBCL-3H-Block-S112;35.714285714285715;63.33333333333333;31.25;67.85714285714286;54.54545454545454;49.523809523809526;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S113;100;46.666666666666664;46.666666666666664;100;63.63636363636363;73.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S114;64.28571428571429;80;60;82.75862068965517;75;72.14285714285715;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S115;71.42857142857143;63.33333333333333;47.61904761904761;82.6086956521739;65.9090909090909;67.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S116;21.428571428571427;86.66666666666667;42.857142857142854;70.27027027027027;65.9090909090909;54.047619047619044;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S117;64.28571428571429;56.666666666666664;40.909090909090914;77.27272727272727;59.09090909090909;60.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S118;100;53.333333333333336;50;100;68.18181818181817;76.66666666666666;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S119;57.14285714285714;80;57.14285714285714;80;72.72727272727273;68.57142857142857;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S12;71.42857142857143;83.33333333333334;66.66666666666666;86.20689655172413;79.54545454545455;77.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S120;50;63.33333333333333;38.88888888888889;73.07692307692307;59.09090909090909;56.666666666666664;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S121;85.71428571428571;60;50;90;68.18181818181817;72.85714285714285;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S122;100;60;53.84615384615385;100;72.72727272727273;80;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S123;64.28571428571429;66.66666666666666;47.368421052631575;80;65.9090909090909;65.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S124;64.28571428571429;63.33333333333333;45;79.16666666666666;63.63636363636363;63.8095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S125;85.71428571428571;70;57.14285714285714;91.30434782608695;75;77.85714285714285;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S126;78.57142857142857;50;42.30769230769231;83.33333333333334;59.09090909090909;64.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S127;21.428571428571427;93.33333333333333;60;71.7948717948718;70.45454545454545;57.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Block-S128;35.714285714285715;63.33333333333333;31.25;67.85714285714286;54.54545454545454;49.523809523809526;0;0;0;0;0;0;0;0;0;0;0;0
